V1	Ix(M1:D)
0.000000000000000e+00	3.582048e-10
1.000000000000000e-02	3.582048e-10
2.000000000000000e-02	3.582048e-10
3.000000000000000e-02	3.582048e-10
4.000000000000000e-02	3.582048e-10
5.000000000000000e-02	3.582048e-10
6.000000000000000e-02	3.582048e-10
7.000000000000001e-02	3.582048e-10
8.000000000000000e-02	3.582048e-10
9.000000000000000e-02	3.582048e-10
1.000000000000000e-01	3.582048e-10
1.100000000000000e-01	3.582048e-10
1.200000000000000e-01	3.582048e-10
1.300000000000000e-01	3.582048e-10
1.400000000000000e-01	3.582048e-10
1.500000000000000e-01	3.582048e-10
1.600000000000000e-01	3.582048e-10
1.700000000000000e-01	3.582048e-10
1.800000000000000e-01	3.582048e-10
1.900000000000000e-01	3.582048e-10
2.000000000000000e-01	3.582048e-10
2.100000000000000e-01	3.582048e-10
2.200000000000000e-01	3.582048e-10
2.300000000000000e-01	3.582048e-10
2.400000000000000e-01	3.582048e-10
2.500000000000000e-01	3.582048e-10
2.600000000000000e-01	3.582048e-10
2.700000000000000e-01	3.582048e-10
2.800000000000000e-01	3.582048e-10
2.900000000000000e-01	3.582048e-10
3.000000000000000e-01	3.582048e-10
3.100000000000000e-01	3.582048e-10
3.200000000000000e-01	3.582048e-10
3.300000000000000e-01	3.582048e-10
3.400000000000000e-01	3.582048e-10
3.500000000000000e-01	3.582048e-10
3.600000000000000e-01	3.582048e-10
3.700000000000000e-01	3.582048e-10
3.800000000000000e-01	3.582048e-10
3.900000000000000e-01	3.582048e-10
4.000000000000000e-01	3.582048e-10
4.100000000000000e-01	3.582048e-10
4.200000000000000e-01	3.582048e-10
4.300000000000000e-01	3.582048e-10
4.400000000000000e-01	3.582048e-10
4.500000000000000e-01	3.582048e-10
4.600000000000000e-01	3.582048e-10
4.700000000000000e-01	3.582048e-10
4.800000000000000e-01	3.582048e-10
4.900000000000000e-01	3.582048e-10
5.000000000000000e-01	3.582048e-10
5.100000000000000e-01	3.582048e-10
5.200000000000000e-01	3.582048e-10
5.300000000000000e-01	3.582048e-10
5.400000000000000e-01	3.582048e-10
5.500000000000000e-01	3.582048e-10
5.600000000000001e-01	3.582048e-10
5.700000000000001e-01	3.582048e-10
5.800000000000000e-01	3.582048e-10
5.900000000000000e-01	3.582048e-10
6.000000000000000e-01	3.582048e-10
6.100000000000000e-01	3.582048e-10
6.200000000000000e-01	3.582048e-10
6.300000000000000e-01	3.582048e-10
6.400000000000000e-01	3.582048e-10
6.500000000000000e-01	3.582048e-10
6.600000000000000e-01	3.582048e-10
6.700000000000000e-01	3.582048e-10
6.800000000000000e-01	3.582048e-10
6.900000000000001e-01	3.582048e-10
7.000000000000001e-01	3.582048e-10
7.100000000000000e-01	3.582048e-10
7.200000000000000e-01	3.582048e-10
7.300000000000000e-01	3.582048e-10
7.400000000000000e-01	3.582048e-10
7.500000000000000e-01	3.582048e-10
7.600000000000000e-01	3.582048e-10
7.700000000000000e-01	3.582048e-10
7.800000000000000e-01	3.582048e-10
7.900000000000000e-01	3.582048e-10
8.000000000000000e-01	3.582048e-10
8.100000000000001e-01	3.582048e-10
8.200000000000001e-01	3.582048e-10
8.300000000000001e-01	3.582048e-10
8.400000000000000e-01	3.582048e-10
8.500000000000000e-01	3.582048e-10
8.600000000000000e-01	3.582048e-10
8.700000000000000e-01	3.582048e-10
8.800000000000000e-01	3.582048e-10
8.900000000000000e-01	3.582048e-10
9.000000000000000e-01	3.582048e-10
9.100000000000000e-01	3.582048e-10
9.200000000000000e-01	3.582048e-10
9.300000000000000e-01	3.582048e-10
9.400000000000001e-01	3.582048e-10
9.500000000000001e-01	3.582048e-10
9.600000000000000e-01	3.582048e-10
9.700000000000000e-01	3.582048e-10
9.800000000000000e-01	3.582048e-10
9.900000000000000e-01	3.582048e-10
1.000000000000000e+00	3.582048e-10
1.010000000000000e+00	3.582048e-10
1.020000000000000e+00	3.582048e-10
1.030000000000000e+00	3.582048e-10
1.040000000000000e+00	3.582048e-10
1.050000000000000e+00	3.582048e-10
1.060000000000000e+00	3.582048e-10
1.070000000000000e+00	3.582048e-10
1.080000000000000e+00	3.582048e-10
1.090000000000000e+00	3.582048e-10
1.100000000000000e+00	3.582048e-10
1.110000000000000e+00	3.582048e-10
1.120000000000000e+00	3.582048e-10
1.130000000000000e+00	3.582048e-10
1.140000000000000e+00	3.582048e-10
1.150000000000000e+00	3.582048e-10
1.160000000000000e+00	3.582048e-10
1.170000000000000e+00	3.582048e-10
1.180000000000000e+00	3.582048e-10
1.190000000000000e+00	3.582048e-10
1.200000000000000e+00	3.582048e-10
1.210000000000000e+00	3.582048e-10
1.220000000000000e+00	3.582048e-10
1.230000000000000e+00	3.582048e-10
1.240000000000000e+00	3.582048e-10
1.250000000000000e+00	3.582048e-10
1.260000000000000e+00	3.582048e-10
1.270000000000000e+00	3.582048e-10
1.280000000000000e+00	3.582048e-10
1.290000000000000e+00	3.582048e-10
1.300000000000000e+00	3.582048e-10
1.310000000000000e+00	3.582048e-10
1.320000000000000e+00	3.582048e-10
1.330000000000000e+00	3.582048e-10
1.340000000000000e+00	3.582048e-10
1.350000000000000e+00	3.582048e-10
1.360000000000000e+00	3.582048e-10
1.370000000000000e+00	3.582048e-10
1.380000000000000e+00	3.582048e-10
1.390000000000000e+00	3.582048e-10
1.400000000000000e+00	3.582048e-10
1.410000000000000e+00	3.582048e-10
1.420000000000000e+00	3.582048e-10
1.430000000000000e+00	3.582048e-10
1.440000000000000e+00	3.582048e-10
1.450000000000000e+00	3.582048e-10
1.460000000000000e+00	3.582048e-10
1.470000000000000e+00	3.582048e-10
1.480000000000000e+00	3.582048e-10
1.490000000000000e+00	3.582048e-10
1.500000000000000e+00	3.582048e-10
1.510000000000000e+00	3.582048e-10
1.520000000000000e+00	3.582048e-10
1.530000000000000e+00	3.582048e-10
1.540000000000000e+00	3.582048e-10
1.550000000000000e+00	3.582048e-10
1.560000000000000e+00	3.582048e-10
1.570000000000000e+00	3.582048e-10
1.580000000000000e+00	3.582048e-10
1.590000000000000e+00	3.582048e-10
1.600000000000000e+00	3.582048e-10
1.610000000000000e+00	3.582048e-10
1.620000000000000e+00	3.582048e-10
1.630000000000000e+00	3.582048e-10
1.640000000000000e+00	3.582048e-10
1.650000000000000e+00	3.582048e-10
1.660000000000000e+00	3.582048e-10
1.670000000000000e+00	3.582048e-10
1.680000000000000e+00	3.582048e-10
1.690000000000000e+00	3.582048e-10
1.700000000000000e+00	3.582048e-10
1.710000000000000e+00	3.582048e-10
1.720000000000000e+00	3.582048e-10
1.730000000000000e+00	3.582048e-10
1.740000000000000e+00	3.582048e-10
1.750000000000000e+00	3.582048e-10
1.760000000000000e+00	3.582048e-10
1.770000000000000e+00	3.582048e-10
1.780000000000000e+00	3.582048e-10
1.790000000000000e+00	3.582048e-10
1.800000000000000e+00	3.582048e-10
1.810000000000000e+00	3.582048e-10
1.820000000000000e+00	3.582048e-10
1.830000000000000e+00	3.582048e-10
1.840000000000000e+00	3.582048e-10
1.850000000000000e+00	3.582048e-10
1.860000000000000e+00	3.582048e-10
1.870000000000000e+00	3.582048e-10
1.880000000000000e+00	3.582048e-10
1.890000000000000e+00	3.582048e-10
1.900000000000000e+00	3.582048e-10
1.910000000000000e+00	3.582048e-10
1.920000000000000e+00	3.582048e-10
1.930000000000000e+00	3.582048e-10
1.940000000000000e+00	3.582048e-10
1.950000000000000e+00	3.582048e-10
1.960000000000000e+00	3.582048e-10
1.970000000000000e+00	3.582048e-10
1.980000000000000e+00	3.582048e-10
1.990000000000000e+00	3.582048e-10
2.000000000000000e+00	3.582048e-10
2.010000000000000e+00	3.582048e-10
2.020000000000000e+00	3.582048e-10
2.030000000000000e+00	3.582048e-10
2.040000000000000e+00	3.582048e-10
2.050000000000000e+00	3.582048e-10
2.060000000000000e+00	3.582048e-10
2.070000000000000e+00	3.582048e-10
2.080000000000000e+00	3.582048e-10
2.090000000000000e+00	3.582048e-10
2.100000000000000e+00	3.582048e-10
2.110000000000000e+00	3.582048e-10
2.120000000000000e+00	3.582048e-10
2.130000000000000e+00	3.582048e-10
2.140000000000000e+00	3.582048e-10
2.150000000000000e+00	3.582048e-10
2.160000000000000e+00	3.582048e-10
2.170000000000000e+00	3.582048e-10
2.180000000000000e+00	3.582048e-10
2.190000000000000e+00	3.582048e-10
2.200000000000000e+00	3.582048e-10
2.210000000000000e+00	3.582048e-10
2.220000000000000e+00	3.582048e-10
2.230000000000000e+00	3.582048e-10
2.240000000000000e+00	7.457886e-07
