VGS	Id(J1)
0.000000000000000e+00	1.190439e-02
-5.000000000000000e-02	1.151245e-02
-1.000000000000000e-01	1.112696e-02
-1.500000000000000e-01	1.074801e-02
-2.000000000000000e-01	1.037558e-02
-2.500000000000000e-01	1.000967e-02
-3.000000000000000e-01	9.650281e-03
-3.500000000000000e-01	9.297413e-03
-4.000000000000000e-01	8.951072e-03
-4.500000000000000e-01	8.611259e-03
-5.000000000000000e-01	8.277978e-03
-5.500000000000000e-01	7.951231e-03
-6.000000000000001e-01	7.631021e-03
-6.500000000000000e-01	7.317350e-03
-7.000000000000001e-01	7.010221e-03
-7.500000000000000e-01	6.709638e-03
-8.000000000000000e-01	6.415601e-03
-8.500000000000001e-01	6.128114e-03
-9.000000000000000e-01	5.847180e-03
-9.500000000000001e-01	5.572801e-03
-1.000000000000000e+00	5.304980e-03
-1.050000000000000e+00	5.043720e-03
-1.100000000000000e+00	4.789023e-03
-1.150000000000000e+00	4.540891e-03
-1.200000000000000e+00	4.299328e-03
-1.250000000000000e+00	4.064336e-03
-1.300000000000000e+00	3.835918e-03
-1.350000000000000e+00	3.614076e-03
-1.400000000000000e+00	3.398813e-03
-1.450000000000000e+00	3.190132e-03
-1.500000000000000e+00	2.988035e-03
-1.550000000000000e+00	2.792526e-03
-1.600000000000000e+00	2.603605e-03
-1.650000000000000e+00	2.421278e-03
-1.700000000000000e+00	2.245544e-03
-1.750000000000000e+00	2.076409e-03
-1.800000000000000e+00	1.913874e-03
-1.850000000000000e+00	1.757942e-03
-1.900000000000000e+00	1.608615e-03
-1.950000000000000e+00	1.465896e-03
-2.000000000000000e+00	1.329788e-03
-2.050000000000000e+00	1.200294e-03
-2.100000000000000e+00	1.077416e-03
-2.150000000000000e+00	9.611567e-04
-2.200000000000000e+00	8.515188e-04
-2.250000000000000e+00	7.485050e-04
-2.300000000000000e+00	6.521180e-04
-2.350000000000000e+00	5.623605e-04
-2.400000000000000e+00	4.792349e-04
-2.450000000000000e+00	4.027442e-04
-2.500000000000000e+00	3.328908e-04
-2.550000000000000e+00	2.696775e-04
-2.600000000000000e+00	2.131070e-04
-2.650000000000000e+00	1.631818e-04
-2.700000000000000e+00	1.199046e-04
-2.750000000000000e+00	8.327822e-05
